"stop_id","stop_name","stop_lat","stop_lon","location_type","platform_code"
"257711","Königsberger Allee","49.54653","8.4692811","0","B"
"257712","Königsberger Allee","49.546605","8.4690469","0","A"
"257811","Eislebener Weg","49.5088981","8.5507219","0","A"
"257812","Eislebener Weg","49.5087869","8.5505061","0","B"
"257911","Sachsenstraße","49.5073231","8.5456369","0","A"
"257912","Sachsenstraße","49.5074281","8.5464281","0","B"
"258011","Tilsiter Straße","49.552375","8.4675919","0","B"
"258012","Tilsiter Straße","49.5524219","8.46787","0","A"
"258111","Max-Winterhalter-Ring","49.5511219","8.4812461","0","A"
"258112","Max-Winterhalter-Ring","49.551635","8.48139","0","B"
"258211","Memeler Straße","49.5448039","8.48095","0","B"
"258212","Memeler Straße","49.5448981","8.4810481","0","A"
"258311","Freiberger Ring","49.5093411","8.5406519","0","A"
"258421","Schönauschule","49.5437731","8.4740239","0","A"
"258422","Schönauschule","49.5442511","8.4741581","0","B"
"258701","Deutscher Hof","49.47133","8.5565069","0","2"
"258702","Deutscher Hof","49.47084","8.55692","0","1"
"258711","Deutscher Hof","49.47112","8.5565431","0","A"
"258712","Deutscher Hof","49.4712311","8.5549619","0","B"
"258811","Hochstätt","49.4525181","8.5383161","0","B"
"258812","Hochstätt","49.4532131","8.5393581","0","A"
"258911","Kapellenplatz","49.4627781","8.5551769","0","B"
"258912","Kapellenplatz","49.4626019","8.5550431","0","A"
"259011","Lämmertränke","49.4599919","8.5696939","0","A"
"259012","Lämmertränke","49.461055","8.5692","0","B"
"259101","Seckenheim OEG-Bahnhof","49.4623919","8.5693169","0","2"
"259102","Seckenheim OEG-Bahnhof","49.4618381","8.57","0","1"
"259111","Seckenheim OEG-Bahnhof","49.4619781","8.5694969","0","A"
"259211","Zähringer Straße","49.4636361","8.5599389","0","B"
"259212","Zähringer Straße","49.4621411","8.5603881","0","A"
"259301","Pforzheimer Straße","49.4734669","8.5501019","0","2"
"259302","Pforzheimer Straße","49.4732919","8.55056","0","1"
"259414","Seckenheim Rathaus","49.4668181","8.56364","0","D"
"259415","Seckenheim Rathaus","49.4667769","8.5637469","0","E"
"259421","Seckenheim Rathaus","49.4673369","8.5626161","0","A"
"259422","Seckenheim Rathaus","49.4668761","8.5633431","0","B"
"259511","Schlittweg","49.4558581","8.5435169","0","B"
"259512","Schlittweg","49.4558931","8.5437419","0","A"
"259612","Schwabenstraße","49.4625911","8.5676189","0","A"
"259711","Suebenheim","49.4552039","8.5699911","0","A"
"259712","Suebenheim","49.4548311","8.5700539","0","B"
"259801","Carl-Benz-Bad","49.5263761","8.5052581","0","A"
"259802","Carl-Benz-Bad","49.5267489","8.5058331","0","B"
"259911","Pumpwerk","49.4606869","8.5526261","0","B"
"259912","Pumpwerk","49.4594089","8.5505869","0","A"
"260012","Chemnitzer Straße","49.51126","8.5522219","0","B"
"260111","Im Wohlbühl","49.5090089","8.5298539","0","A"
"260112","Im Wohlbühl","49.5093819","8.53024","0","B"
"260212","Magdeburger Straße","49.5138611","8.54703","0","A"
"260301","Potsdamer Weg","49.508145","8.53316","0","A"
"260302","Potsdamer Weg","49.5082681","8.533465","0","B"
"260311","Potsdamer Weg","49.5102389","8.5313181","0","C"
"260312","Potsdamer Weg","49.5101581","8.5317131","0","D"
"260411","Schweriner Weg","49.5068039","8.5343719","0","A"
"260412","Schweriner Weg","49.50699","8.5348669","0","B"
"260542","Straßenheimer Weg","49.5114061","8.5548","0",
"260601","Vogelstang","49.5117561","8.5437511","0","A"
"260611","Vogelstang","49.5124211","8.5437061","0","B"
"260612","Vogelstang","49.5124619","8.5439661","0","C"
"260711","Warnemünder Weg","49.5078419","8.5370669","0","A"
"260811","Kurpfalz Center","49.52058","8.5555819","0","A"
"260901","Vogelstang West","49.5060281","8.5320369","0","A"
"260902","Vogelstang West","49.5065411","8.5320639","0","B"
"260903","Vogelstang West","49.5065589","8.53113","0","2"
"260904","Vogelstang West","49.5061789","8.5318661","0","1"
