route_id,trip_id,service_id,trip_short_name,start_time,end_time
22-2-22,22-2-1022-66780,295-296-297-298-299-300-302-303-304-305-307,22,18:33:00,18:52:00
22-1-22,22-1-1-68520,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,19:02:00,19:21:00
22-2-22,22-2-1022-73980,295-296-297-298-299-300-302-303-304-305-307,22,20:33:00,20:52:00
22-1-22,22-1-1-75720,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,21:02:00,21:21:00
22-2-22,22-2-2022-85980,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,23:53:00,24:10:00
22-121-22,22-121-4-87300,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,24:15:00,24:31:00
22-2-22,22-2-1022-21180,295-296-297-298-299-300-302-303-304-305-307,22,05:53:00,06:12:00
22-1-22,22-1-1-22920,295-296-297-298-299-302-303-304-305,22,06:22:00,06:41:00
22-2-22,22-2-1022-28380,295-296-297-298-299-300-302-303-304-305-307,22,07:53:00,08:12:00
22-1-22,22-1-1-30120,295-296-297-298-299-302-303-304-305,22,08:22:00,08:41:00
22-2-22,22-2-1022-35580,295-296-297-298-299-300-302-303-304-305-307,22,09:53:00,10:12:00
22-1-22,22-1-1-37320,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,10:22:00,10:41:00
22-2-22,22-2-1022-42780,295-296-297-298-299-300-302-303-304-305-307,22,11:53:00,12:12:00
22-1-22,22-1-1-44520,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,12:22:00,12:41:00
22-2-22,22-2-1022-49980,295-296-297-298-299-300-302-303-304-305-307,22,13:53:00,14:12:00
22-1-22,22-1-1-51720,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,14:22:00,14:41:00
22-2-22,22-2-1022-57180,295-296-297-298-299-300-302-303-304-305-307,22,15:53:00,16:12:00
22-1-22,22-1-1-58920,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,16:22:00,16:41:00
22-2-22,22-2-1022-64380,295-296-297-298-299-300-302-303-304-305-307,22,17:53:00,18:12:00
22-1-22,22-1-1-66120,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,18:22:00,18:41:00
22-2-22,22-2-1022-71580,295-296-297-298-299-300-302-303-304-305-307,22,19:53:00,20:12:00
22-1-22,22-1-1-73320,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,20:22:00,20:41:00
22-2-22,22-2-2022-78780,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,21:53:00,22:10:00
22-1-22,22-1-1-80520,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,22:22:00,22:41:00
22-2-22,22-2-2022-82380,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,22:53:00,23:10:00
22-1-22,22-1-1-85320,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,23:42:00,24:01:00
22-2-22,22-2-1022-21780,295-296-297-298-299-302-303-304-305,22,06:03:00,06:22:00
22-1-22,22-1-1-23520,295-296-297-298-299-302-303-304-305,22,06:32:00,06:51:00
22-2-22,22-2-1022-28980,295-296-297-298-299-302-303-304-305,22,08:03:00,08:22:00
22-1-22,22-1-1-30720,295-296-297-298-299-302-303-304-305,22,08:32:00,08:51:00
22-2-22,22-2-1022-36180,295-296-297-298-299-300-302-303-304-305-307,22,10:03:00,10:22:00
22-1-22,22-1-1-37920,295-296-297-298-299-300-302-303-304-305-307,22,10:32:00,10:51:00
22-2-22,22-2-1022-43380,295-296-297-298-299-300-302-303-304-305-307,22,12:03:00,12:22:00
22-1-22,22-1-1-45120,295-296-297-298-299-300-302-303-304-305-307,22,12:32:00,12:51:00
22-2-22,22-2-1022-50580,295-296-297-298-299-300-302-303-304-305-307,22,14:03:00,14:22:00
22-1-22,22-1-1-52320,295-296-297-298-299-300-302-303-304-305-307,22,14:32:00,14:51:00
22-2-22,22-2-1022-57780,295-296-297-298-299-300-302-303-304-305-307,22,16:03:00,16:22:00
22-1-22,22-1-1-59520,295-296-297-298-299-300-302-303-304-305-307,22,16:32:00,16:51:00
22-2-22,22-2-1022-64980,295-296-297-298-299-300-302-303-304-305-307,22,18:03:00,18:22:00
22-1-22,22-1-1-66720,295-296-297-298-299-300-302-303-304-305-307,22,18:32:00,18:51:00
22-2-22,22-2-1022-72180,295-296-297-298-299-300-302-303-304-305-307,22,20:03:00,20:22:00
22-1-22,22-1-1-73920,295-296-297-298-299-302-303-304-305,22,20:32:00,20:51:00
22-102-22,22-102-1-18120,295-296-297-298-299-302-303-304-305,22,05:02:00,05:17:00
22-1-22,22-1-1-19320,295-296-297-298-299-302-303-304-305,22,05:22:00,05:41:00
22-2-22,22-2-1022-24780,295-296-297-298-299-300-302-303-304-305-307,22,06:53:00,07:12:00
22-1-22,22-1-1-26520,295-296-297-298-299-302-303-304-305,22,07:22:00,07:41:00
